cannon_x,0-Noop,1-Fire,2-Right,3-Left
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,-4.8586,-4.84426,-4.89148,-4.88693
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,-0.199,-0.1
27,-0.11,-0.099905,-0.1,-0.099715
28,0,0,0,0
29,-0.11,-0.099905,0,0
30,-0.11,-0.099905,-0.198622,-0.1
31,0,0,0,0
32,0,0,0,0
33,-10.8962,-9.97157,-9.97153,-9.97141
34,0,0,-0.1,-0.199
35,0,-0.199,0,0
36,0,0,0,0
37,0,0,0,0
38,-10.9715,-9.97148,-9.97155,-9.97145
39,-0.790239,0.0225772,0.0233379,0.0284999
40,-0.946545,0.0284763,0.0240882,0.0285001
41,-0.949446,0.0264438,0.0284876,0.0285001
42,-0.797232,0.0248053,0.0268829,0.0285001
43,-0.973325,0.0255279,0.0274145,0.0285001
44,-0.838762,0.0241338,0.0238782,0.0285001
45,-0.94742,0.0284928,0.0284984,0.0836551
46,-0.925303,0.0284826,0.0284722,0.0285181
47,-0.915632,0.0273829,0.0284905,0.028568
48,-0.963915,0.0281978,0.0284714,0.0462762
49,-0.916093,0.0275567,0.0284786,0.0344565
50,-0.919881,0.029273,0.0246385,0.0325207
51,-0.957302,0.0287854,0.0254324,0.0422979
52,-0.814522,0.0248515,0.0285253,0.0555105
53,-0.888149,0.0250302,0.0284905,0.0616022
54,-0.836208,0.0226368,0.0234161,0.0285001
55,-0.793947,0.0237491,0.0585566,0.0588134
56,-0.781656,0.0284716,0.0241261,0.0285001
57,-0.832853,0.0283752,0.0230159,0.0393735
58,-0.92993,0.0284972,0.0275523,0.0520555
59,-0.882809,0.02842,0.0284664,0.0439193
60,-0.784211,0.0257875,0.0284946,0.0759867
61,-0.946183,0.0284062,0.0277785,0.0285001
62,-0.930423,0.0283772,0.0284935,0.0294216
63,-0.960536,0.0251829,0.0285008,0.02866
64,-0.832275,0.0283643,0.0216824,0.0616147
65,-0.723689,0.0218416,0.0284794,0.0316423
66,-0.754514,0.033782,0.0280913,0.070329
67,-0.847215,0.0292498,0.0277664,0.0484659
68,-0.823067,0.0233074,0.028616,0.0286436
69,-0.846716,0.028891,0.028859,0.0300668
70,-0.886639,0.0288052,0.0288677,0.105378
71,-0.789897,0.0215948,0.0299311,0.0866601
72,-0.831328,0.0290265,0.027287,0.0658116
73,-0.800512,0.0290238,0.0254517,0.0450552
74,-0.924962,0.0258409,0.0289559,0.0363304
75,-0.819539,0.0293584,0.0279014,0.0773883
76,-0.69753,0.0283539,0.0218855,0.0547203
77,-0.940368,0.0284902,0.0281704,0.0387211
78,-0.971529,0.0284565,0.028497,0.0308659
79,-0.964767,0.0281646,0.0284821,0.126669
80,-0.972993,0.0283778,0.026927,0.0559626
81,-0.627326,0.335406,0.0219515,0.0252155
82,-0.720182,0.0285104,0.0214108,0.116008
83,-0.953432,0.0254802,0.0284706,0.195404
84,-0.72874,0.0201037,0.118811,0.117987
85,-0.708699,0.0201642,0.0197343,0.051994
86,-0.863437,0.0284818,0.0260647,0.0285001
87,-0.676755,0.0179786,0.0185433,0.0285015
88,-0.766964,0.0215213,0.020053,0.195992
89,-0.809891,0.0221768,0.0284802,0.0285004
90,-0.884103,0.0259327,0.0284829,0.0285001
91,-0.712161,0.0265543,0.0195044,0.10247
92,-0.791735,0.021546,0.0284941,0.0291132
93,-0.807553,0.0284588,0.0284742,0.0575302
94,-0.884286,0.0275005,0.0276497,0.273556
95,-0.716442,0.0285036,0.0284489,0.0314205
96,-0.874939,0.378216,0.0263436,0.0275815
97,-0.853025,0.0284586,0.0258187,0.186136
98,-0.694661,0.0283899,0.0284262,0.222785
99,-0.71892,0.0284966,0.0214074,0.0743691
100,-0.771808,0.0284086,0.0206352,0.0300598
101,-0.798295,0.0282651,0.0253791,0.0284509
102,-0.868227,0.0299835,0.030021,0.0482147
103,-0.790294,0.0242783,0.0248631,0.0424086
104,-0.715494,0.0288193,0.0288614,0.0382963
105,-0.800712,0.0287004,0.0187149,0.0421708
106,-0.780628,0.0287649,0.0287644,0.0445432
107,-0.761303,0.0284662,0.0192759,0.0783569
108,-0.92616,0.0287769,0.0288312,0.161609
109,-0.971314,0.0284892,0.0277534,0.0342596
110,-0.959583,0.0279827,0.0284501,0.06673
111,-0.967744,0.0281438,0.0284973,0.10006
112,-0.801198,0.0277896,0.0289294,0.0289877
113,-0.976346,0.0234262,0.0285814,0.0337647
114,-0.895556,0.028467,0.0203192,0.0678641
115,-0.707305,0.0249198,0.0284095,0.0285011
116,-0.658308,0.0284768,0.0178076,0.0287777
117,-0.674163,0.0284611,0.0258051,0.0285001
118,-0.847332,0.0245798,0.0284844,0.0285001
119,-0.472459,0.0182757,0.0159152,0.0303195
120,-10.9638,-9.97169,-9.97179,-9.74661
121,0,-0.1,0,-0.1
122,-0.849808,-0.772179,-0.863542,-0.862634
123,-0.218805,-0.198905,-0.199,-0.39404
124,-0.218805,-0.099905,-0.198622,-0.198433
125,-0.11,-0.199,-0.29701,-0.29701
126,-0.11,-0.1,-0.198622,-0.198433
127,0,0,0,0
128,0,0,0,-0.1
129,-0.11,-0.1,-0.1,-0.099715
130,0,-0.585198,-0.29701,0
131,-0.433444,-0.393851,-0.393291,-0.488703
132,-0.11,-0.199,-0.199,-0.198433
133,0,0,0,0
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
142,0,0,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
