cannon+AF8-x,0-Noop,1-Fire,2-Right,3-Left
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,-5.28528,-5.28202,-5.283,-5.28154
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,-0.011,-0.01999,-0.0099715,-0.01
26,-0.032967,-0.0299415,-0.0298846,-0.0248553
27,-0.021989,-0.019971,-0.0298846,-0.019952
28,0,-0.01,0,0
29,0,-0.01,-0.01,0
30,-0.021989,-0.019971,-0.019933,-0.019971
31,-0.021989,-0.019952,-0.019933,-0.019952
32,-0.0548616,-0.0398831,-0.0498147,-0.0498053
33,-10.7606,-9.97043,-9.92682,-9.97042
34,-0.021989,-0.0299415,-0.0298846,-0.0299131
35,-0.0439341,-0.0399021,-0.0497579,-0.0498242
36,-0.0548901,-0.0498622,-0.0596796,-0.0498432
37,0,0,0,0
38,-10.971,-9.97111,-9.9711,-9.9711
39,-0.788508,0.0284927,0.0285009,0.0272105
40,-0.710691,0.0284931,0.0285009,0.0284937
41,-0.822153,0.0284848,0.0285009,0.0284963
42,-0.707773,0.028497,0.028514,0.0284988
43,-0.885639,0.0284954,0.0285009,0.0285002
44,-0.899677,0.0285068,0.0285149,0.0285132
45,-0.941532,0.0309708,0.0356392,0.0309727
46,-0.91154,0.0284334,0.0768275,0.0287491
47,-0.916767,0.032558,0.042809,0.0325999
48,-0.824562,0.075954,0.0555312,0.0449378
49,-0.6813,0.030078,0.0549716,0.0300849
50,-0.737451,0.0295685,0.0376477,0.0241212
51,-0.861663,0.0289878,0.028994,0.0289841
52,-0.818918,0.0290561,0.0455714,0.029063
53,-0.654102,0.0367506,0.0430834,0.0325679
54,-0.82041,0.0330992,0.0474395,0.0331125
55,-0.772394,0.0372088,0.0955332,0.0372663
56,-0.60639,0.0436131,0.0549609,0.0436118
57,-0.654842,0.0394239,0.045218,0.0394502
58,-0.604172,0.0422225,0.0422463,0.0422525
59,-0.660257,0.0356089,0.0462264,0.044456
60,-0.842149,0.0508302,0.0508158,0.0508352
61,-0.756224,0.068359,0.0864782,0.0723351
62,-0.659905,0.0632563,0.0687576,0.0632958
63,-0.483719,0.0470483,0.0631613,0.0501611
64,-0.537448,0.0402889,0.0564074,0.0522014
65,-0.487913,0.0443577,0.0582849,0.0489333
66,-0.697807,0.046885,0.088498,0.0469379
67,-0.776325,0.0430515,0.075405,0.0431142
68,-0.811987,0.0477878,0.104888,0.0477461
69,-0.554338,0.0435879,0.121196,0.0436718
70,-0.829745,0.120183,0.142026,0.0533501
71,-0.741996,0.0532061,0.0830961,0.0351053
72,-0.578545,0.0449603,0.0672164,0.049918
73,-0.580134,0.0450211,0.0462522,0.0450396
74,-0.754878,0.0435369,0.0435536,0.0435636
75,-0.83103,0.0434372,0.0538901,0.0434278
76,-0.526525,0.0569708,0.0569875,0.0325124
77,-0.839998,0.0473127,0.0656677,0.0472616
78,-0.916212,0.0372386,0.101751,0.0314566
79,-0.894912,0.0307595,0.115949,0.0307965
80,-0.655287,0.033417,0.0375807,0.0333941
81,-0.493038,0.0434196,0.0982673,0.0215185
82,-0.530019,0.0176425,0.0726458,0.0163897
83,-0.543899,0.0392186,0.0701827,0.030652
84,-0.815775,0.0520486,0.0997864,0.0469164
85,-0.719507,0.0347497,0.0626069,0.0347639
86,-0.734192,0.0574411,0.0746438,0.0575202
87,-0.471305,0.0415798,0.0520188,0.041613
88,-0.787788,0.046234,0.0464022,0.0462767
89,-0.416057,0.0412909,0.041309,0.0413006
90,-0.797828,0.0323783,0.0323761,0.0323665
91,-0.374231,0.041148,0.0720798,0.0532217
92,-0.598838,0.0593782,0.0650457,0.0593879
93,-0.726771,0.0569034,0.0568862,0.0568692
94,-0.308145,0.0447505,0.044784,0.0267615
95,-0.387118,0.0834353,0.0834644,0.0473465
96,-0.705394,0.0743135,0.074306,0.0742663
97,-0.741136,0.0490503,0.0538956,0.0490527
98,-0.723873,0.0667353,0.0837389,0.0668575
99,-0.571354,0.0557768,0.0557702,0.0557589
100,-0.327591,0.212115,0.0688052,0.0502273
101,-0.299774,0.0563157,0.0932982,0.0583924
102,-0.555919,0.0568446,0.105802,0.0568909
103,-0.360408,0.0543123,0.0883691,0.0251222
104,-0.548796,0.0657964,0.105225,0.0656739
105,-0.600231,0.0636066,0.0986167,0.0766805
106,-0.667014,0.0647455,0.108077,0.0648837
107,-0.725154,0.0668099,0.125604,0.0372511
108,-0.862038,0.0356873,0.085301,0.0356725
109,-0.581652,0.029,0.0708566,0.040141
110,-0.87484,0.146905,0.0337128,0.033823
111,-0.929521,0.0340635,0.222811,0.0399794
112,-0.776248,0.0384664,0.198109,0.0441255
113,-0.808985,0.0891335,0.115668,0.0675227
114,-0.412147,0.0292464,0.117308,0.0158789
115,-0.277244,0.0319377,0.117638,0.0158889
116,-0.727074,0.0799159,0.0948152,0.0695907
117,-0.69507,0.0891342,0.110901,0.0891396
118,-0.708179,0.0859597,0.14231,0.0858902
119,-0.220321,0.0549936,0.10755,0.0547011
120,-10.887,-9.97103,-9.96063,-9.97103
121,-0.0658352,-0.0697241,-0.0696009,-0.0696578
122,-0.641148,-0.638321,-0.637368,-0.637868
123,-0.0767599,-0.0795564,-0.0794934,-0.0795597
124,-0.0876359,-0.0796448,-0.0795028,-0.0795596
125,-0.0439341,-0.0399116,-0.0498147,-0.0597838
126,-0.0439341,-0.0399211,-0.0498431,-0.0498432
127,-0.0439341,-0.0399021,-0.0398546,-0.0398736
128,-0.228705,-0.227262,-0.236724,-0.236828
129,-0.0767694,-0.0697619,-0.0696481,-0.0696766
130,-0.0767694,-0.0796732,-0.0795217,-0.0793934
131,-0.131267,-0.138924,-0.138697,-0.138858
132,-0.0767504,-0.0697051,-0.0794934,-0.0795785
133,-0.02197,-0.0099905,-0.019933,-0.019952
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
142,0,0,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
