cannon_x,0-Noop,1-Fire,2-Right,3-Left,4-RightFire,5-LeftFire
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,-0.772623,0.204948,0.28775,0.204961,0.202568,0.198525
39,-0.571786,0.109553,0.127987,0.281852,0.12952,0.117867
40,-0.457332,0.108991,0.448449,0.093188,0.100273,0.0924691
41,-0.490328,0.169391,0.169677,0.128462,0.528367,0.152369
42,-0.464269,0.140152,0.157632,0.569253,0.177575,0.156548
43,-0.459477,0.107581,0.130326,0.110664,0.589451,0.13094
44,-0.46196,0.236278,0.230423,0.210608,0.74233,0.185784
45,-0.46346,0.269947,0.477695,0.266936,0.469616,0.721815
46,-0.214111,0.698877,2.14248,0.338821,0.738244,0.332847
47,0.0547902,2.25944,0.802953,0.886244,0.78968,0.866148
48,-0.309906,0.363117,0.568038,2.04835,0.574213,0.443601
49,-0.164796,0.331368,4.01221,0.26015,0.531565,0.287084
50,0.466684,1.20111,1.35386,0.821165,5.42213,0.802153
51,1.86123,5.85012,2.51587,2.47331,2.46758,2.54576
52,0.48371,1.18209,0.65467,1.38711,0.715432,5.40496
53,-0.12768,0.225952,0.107267,3.48641,0.0982561,0.368584
54,-0.191201,0.0700606,0.0824685,0.11747,0.746851,0.133749
55,-0.219411,0.188878,1.50314,0.110788,0.206517,0.131463
56,-0.071374,1.85576,0.371583,0.36776,0.378039,0.413159
57,-0.20105,0.151582,0.101784,0.209279,0.0840825,1.49433
58,-0.16137,0.0278763,0.0486801,0.579426,0.0847787,0.0448365
59,-0.107394,0.0189931,0.107918,0.0321046,0.0372511,0.0240647
60,-0.131511,0.0394952,0.116514,0.024843,0.0326172,0.0360773
61,-0.134675,0.0171946,0.0244451,0.111792,0.0150833,0.0218689
62,-0.104697,0.00714534,0.0180127,0.00995837,0.0660715,0.0202467
63,-0.117376,0.147538,0.0138509,0.0145537,0.02296,0.0085076
64,-0.095361,0.0133964,0.0616679,0.0144833,0.0213942,0.0149305
65,-0.110758,0.0117135,0.0241622,0.0246061,0.104859,0.0245504
66,-0.0467804,0.0057621,0.0134882,0.0152237,0.0453206,0.081379
67,-0.0983212,0.014661,0.0220436,0.00235121,0.12159,0.00706403
68,-0.0947606,0.0603132,0.0234225,0.0102447,0.0855673,0.153056
69,-0.118695,0.026768,0.0154007,0.021901,0.116756,0.0146489
70,-0.100353,0.0115543,0.00779438,0.00757284,0.0193604,0.0806262
71,-0.0888603,0.0188085,0.0133852,0.0137814,0.167119,0.00957324
72,-0.12684,0.404733,0.0362328,0.0424931,0.0398335,0.0279829
73,-0.0949541,0.0261205,0.0348145,0.0522971,0.305979,0.038064
74,-0.218984,0.559498,0.0455933,0.094949,0.0484179,0.0656984
75,-0.168665,0.0169178,0.0132008,0.314048,0.0202265,0.0209518
76,-0.121063,0.170879,0.0117996,0.0438655,0.0121527,0.0266022
77,-0.142611,0.00965162,0.0155253,0.0852529,0.0168949,0.0256279
78,-0.801438,0.125186,0.11915,0.0635187,0.180638,0.0821115
79,-0.540815,0.0579406,0.0283963,0.185807,0.0888427,0.0803978
80,-0.22375,0.0143204,0.0275819,0.015826,0.0717887,0.0232179
81,-0.101891,0.020845,0.00713758,0.00684492,0.00348908,0.0540151
82,-0.0495013,0.00829961,0.000577575,0.0679078,0.00796383,0.0105759
83,-0.0484016,0.00153407,0.0308094,0.0014178,0.00198071,0.00672007
84,-0.0279554,0.000521359,0.00925301,0.00402117,0.00791532,0.033872
85,-0.0236053,0.00761521,0.0320909,0.0040751,0.00668996,0.0013808
86,-0.0336617,0.0688424,0.00403863,0.0102678,0.0100433,0.0115453
87,-0.0335597,0.000322249,0.00478252,0.0030002,0.0198899,0.00540807
88,-0.0167815,0.00505672,0.0147172,0.00656232,0.000396554,0.00027951
89,-0.0346895,0.00574505,0.0449496,0.00139951,0.00713396,0.00878743
90,-0.0685693,0.00535066,0.00351468,0.000997874,0.063292,0.0499384
91,-0.0348991,0.00805529,0.0533725,0.00095518,0.00785939,0.00230073
92,-0.0428258,0.0159538,0.143523,0.0150812,0.00710849,0.00594093
93,-0.0431585,0.0157959,0.0071205,0.126576,0.00335348,0.00565464
94,-0.0199395,0.000473235,0.00147002,0.0456413,0.0051705,0.00591619
95,-0.0313962,0.000233544,0.00794237,0.000478429,0.0203606,0.000562792
96,-0.0361468,0.0718606,0.0137187,0.000408561,0.00881392,0.00169461
97,-0.0315275,0.00235565,0.00169979,0.0155506,0.00713951,0.00176729
98,-0.0162453,0.000901207,0.00127397,0.00868713,0.00499127,0.0577776
99,-0.0138285,4.93658e-05,0.00494182,0.000508476,0.0121743,0.000863925
100,-0.00617884,2.20326e-05,8.34281e-05,-0.000187234,0.0115017,-0.000181286
101,-0.0157306,0.000121055,0.00419746,0.0024926,0.0116636,3.5944e-05
