cannon+AF8-x,0-Noop,1-Fire,2-Right,3-Left
0,0,0,0,0
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,0,0,0,0
9,0,0,0,0
10,0,0,0,0
11,0,0,0,0
12,0,0,0,0
13,0,0,0,0
14,-4.70663,-4.70509,-4.70099,-4.70315
15,0,0,0,0
16,0,0,0,0
17,0,0,0,0
18,0,0,0,0
19,0,0,0,0
20,0,0,0,0
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,-0.011,-0.0199615,0,0
26,-0.011,-0.0099905,-0.019971,-0.009981
27,0,0,0,0
28,-0.011,0,-0.02997,-0.02997
29,-0.0548142,-0.019971,-0.019933,-0.009981
30,-0.0219795,-0.0099905,0,-0.0399021
31,-0.0329575,-0.0399021,-0.029951,-0.029951
32,-0.032967,-0.0399116,-0.0499001,-0.039921
33,-10.9552,-9.97556,-9.96904,-9.95224
34,-0.02197,-0.01,-0.0398642,-0.009981
35,-0.0219605,-0.0199805,-0.0298941,-0.019952
36,-0.0548522,-0.0299415,-0.029932,-0.0299415
37,-0.032948,-0.0099905,-0.01,0
38,-10.972,-9.97199,-9.97198,-9.97199
39,-0.969073,0.0285011,0.0285063,0.0284985
40,-0.944153,0.0285246,0.0285344,0.0285291
41,-0.944219,0.0287329,0.0287507,0.0287489
42,-0.937976,0.0292102,0.0292156,0.029213
43,-0.94295,0.0317288,0.0317365,0.031732
44,-0.942034,0.034949,0.0349645,0.0349536
45,-0.869311,0.0564984,0.056481,0.0564711
46,-0.971989,0.0287383,0.04755,0.0290269
47,-0.939729,0.0507263,0.105782,0.0329076
48,-0.903755,0.0482344,0.0694331,0.0480359
49,-0.944177,0.0449508,0.0473433,0.0473297
50,-0.955754,0.049074,0.0742002,0.0629494
51,-0.944252,0.035493,0.0528642,0.0436102
52,-0.93945,0.0372206,0.05126,0.0473303
53,-0.935462,0.0327727,0.0391169,0.038789
54,-0.928936,0.0319283,0.0353122,0.0319262
55,-0.913853,0.0305446,0.0305471,0.0305419
56,-0.920599,0.0384604,0.0410821,0.0394595
57,-0.877707,0.0633582,0.0633907,0.0634017
58,-0.926296,0.0447293,0.044758,0.0447502
59,-0.901632,0.0516292,0.0516279,0.0516177
60,-0.892797,0.0458845,0.0524485,0.0458953
61,-0.866272,0.115898,0.115963,0.0518956
62,-0.895622,0.069424,0.124646,0.0746048
63,-0.915328,0.157369,0.0861999,0.121397
64,-0.863271,0.087561,0.124876,0.0827627
65,-0.887658,0.0806361,0.170052,0.0767423
66,-0.920081,0.0983826,0.174082,0.0987124
67,-0.874537,0.0948123,0.161194,0.0857269
68,-0.8932,0.0962209,0.159735,0.0943182
69,-0.840681,0.099986,0.130567,0.100454
70,-0.891029,0.140207,0.259903,0.131252
71,-0.803462,0.0852584,0.11482,0.0852138
72,-0.852719,0.0981387,0.186809,0.0954275
73,-0.825983,0.114386,0.216112,0.121564
74,-0.849746,0.0952572,0.155191,0.0948295
75,-0.746634,0.130769,0.137693,0.137681
76,-0.851211,0.0966317,0.162058,0.0968367
77,-0.900646,0.0419262,0.08465,0.0411845
78,-0.918174,0.127206,0.0505615,0.0634501
79,-0.892345,0.0626396,0.0626154,0.0415636
80,-0.895699,0.121664,0.0923155,0.0747469
81,-0.934209,0.0660045,0.0924004,0.0590441
82,-0.941352,0.0525366,0.100107,0.0670168
83,-0.854898,0.057389,0.107822,0.0822661
84,-0.850673,0.0755193,0.10527,0.0754493
85,-0.876338,0.0674904,0.110711,0.0652344
86,-0.885682,0.0901986,0.104042,0.0943747
87,-0.864679,0.0874507,0.146766,0.0875852
88,-0.853246,0.110666,0.164624,0.120681
89,-0.885519,0.0817183,0.117527,0.0818717
90,-0.88519,0.0813759,0.127822,0.0795771
91,-0.80523,0.0976274,0.134317,0.0979142
92,-0.86212,0.108528,0.140836,0.125127
93,-0.884464,0.100955,0.118705,0.100876
94,-0.81486,0.109877,0.134499,0.12565
95,-0.830128,0.0907458,0.176637,0.107054
96,-0.82952,0.112332,0.122675,0.112077
97,-0.844501,0.0969184,0.20267,0.0883879
98,-0.80904,0.114361,0.182575,0.109453
99,-0.868672,0.0931267,0.131515,0.0827129
100,-0.828742,0.142196,0.148845,0.130698
101,-0.864332,0.102292,0.11797,0.102257
102,-0.862544,0.074207,0.0741905,0.0742285
103,-0.876664,0.0833165,0.139151,0.0821938
104,-0.834798,0.105902,0.108792,0.104345
105,-0.840095,0.0774787,0.077539,0.0775014
106,-0.802285,0.124643,0.145256,0.0678572
107,-0.864849,0.0762795,0.0860931,0.0763799
108,-0.842692,0.0548012,0.0943742,0.0551523
109,-0.920782,0.0390219,0.105504,0.0385207
110,-0.947228,0.0331138,0.0901487,0.0329894
111,-0.955856,0.0390222,0.0905847,0.0391099
112,-0.9109,0.0761573,0.0849129,0.0614387
113,-0.941855,0.0395931,0.132358,0.03945
114,-0.897648,0.0474053,0.14391,0.0519801
115,-0.896387,0.126066,0.0476452,0.0577262
116,-0.844883,0.0662788,0.100759,0.0518798
117,-0.874212,0.0617002,0.0899821,0.0617044
118,-0.820015,0.0624827,0.100003,0.0622898
119,-0.871358,0.074445,0.0864869,0.074296
120,-10.852,-9.8943,-9.93818,-9.93819
121,-0.0876547,-0.0598028,-0.109348,-0.069724
122,-0.578187,-0.572742,-0.576851,-0.58179
123,-0.174545,-0.148822,-0.158626,-0.158664
124,-0.0876358,-0.138915,-0.109263,-0.0894894
125,-0.0548901,-0.0498432,-0.0597458,-0.0498242
126,-0.011,-0.01,0,0
127,-0.021989,-0.019971,-0.0498906,-0.019952
128,-0.250077,-0.246742,-0.256278,-0.246629
129,-0.120132,-0.129025,-0.128855,-0.128902
130,-0.120349,-0.109385,-0.109367,-0.119191
131,-0.174384,-0.168336,-0.16826,-0.168326
132,-0.131191,-0.099466,-0.0994943,-0.109347
133,-0.032948,-0.0399021,-0.0398452,-0.0398926
134,0,0,0,0
135,0,0,0,0
136,0,0,0,0
137,0,0,0,0
138,0,0,0,0
139,0,0,0,0
140,0,0,0,0
141,0,0,0,0
142,0,0,0,0
143,0,0,0,0
144,0,0,0,0
145,0,0,0,0
146,0,0,0,0
147,0,0,0,0
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,0
152,0,0,0,0
153,0,0,0,0
154,0,0,0,0
155,0,0,0,0
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
