cannon_x,0-Noop,1-Fire,2-Right,3-Left,4-RightFire,5-LeftFire
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,-0.432259,0.643615,0.027101,0.575398,0.0198582,0.599808
39,-0.553724,0.233047,0.256297,0.240031,0.598629,0.276257
40,-0.507953,0.240693,0.181838,0.617027,0.252398,0.227934
41,-0.436801,0.515808,0.629583,0.542677,0.484845,0.529074
42,-0.422824,0.552446,0.645675,0.484043,0.521667,0.470638
43,-0.502354,0.164279,0.192203,0.151134,0.609271,0.137649
44,-0.533048,0.141776,0.567091,0.119513,0.177841,0.115971
45,-0.569292,0.133434,0.505241,0.0955547,0.14489,0.121865
46,-0.677706,0.155904,0.483195,0.159357,0.178165,0.161991
47,-0.643165,0.176198,0.168198,0.158952,0.476737,0.153224
48,-0.672601,0.239712,0.505933,0.199004,0.267402,0.163894
49,-0.298445,0.0497194,0.197596,0.0348775,0.0534623,0.0247944
50,-0.267281,0.0391758,0.067394,0.02566,0.116374,0.0247606
51,-0.217199,0.0330076,0.031073,0.0279223,0.0315933,0.1015
52,-0.190671,0.024327,0.0848717,0.0144011,0.0289948,0.0122409
53,-0.1454,0.00638029,0.00620263,0.048464,0.016568,0.0260336
54,-0.124286,0.00751956,0.0259086,0.0066131,0.0358648,0.0017917
55,-0.133396,0.0123349,0.00813375,0.00894581,0.0162062,0.0495485
56,-0.079941,0.0181434,0.00718628,0.0270866,0.0118741,0.000635549
57,-0.084924,0.0109872,0.0301396,0.0115484,0.0112978,0.00537626
58,-0.0531814,0.00141867,0.00719129,0.0470093,0.0048346,0.0179201
59,-0.110453,0.110541,0.00833646,0.0356759,0.00828756,0.0163206
60,-0.0604548,0.0107356,0.00627049,0.0118037,0.0404086,0.0131884
61,-0.0591585,0.00689873,0.00303223,0.0074229,0.000916669,0.0283287
62,-0.0485494,-1.61317e-05,0.0207537,0.000986772,0.00092826,0.000996973
63,-0.0368028,0.00338461,0.00616271,0.0115024,0.00886697,0.0485803
64,-0.0458764,0.00287617,0.0234387,0.000760903,0.00778983,0.00162762
65,-0.0269787,0.0537216,0.00519381,0.000327932,0.000317788,0.000212281
66,-0.0217118,0.00121904,0.00539821,0.0218695,0.000399712,0.00506229
67,-0.0209309,0.00256155,0.000162236,4.5715e-05,0.0128049,0.00253367
68,-0.0194566,6.00209e-05,0.000137384,0.00134538,0.000157335,0.00735543
69,-0.0160402,0.00509044,3.95459e-05,7.84147e-05,-0.000197321,0.00495667
70,-0.0192356,0.00499743,9.11954e-05,6.19336e-05,0.00233432,4.73721e-05
71,-0.0116414,0.00729094,-0.000183918,8.97793e-06,5.43683e-05,0.00367117
72,-0.0121667,8.84106e-06,0.00227884,2.6687e-05,5.82308e-05,0.00504572
73,-0.0089295,-0.000194497,8.88279e-06,0.00744609,1.51139e-06,0.00368873
74,-0.00796894,1.02323e-07,-0.000178714,1.80881e-09,9.90586e-05,1.16695e-09
75,-0.00299588,8.65844e-10,2.92507e-08,1.92743e-06,6.06744e-08,1.66452e-07
76,-0.0114331,1.05611e-06,3.19522e-09,0.00012238,-0.000499186,0.00070884
77,-0.0740941,0.000333456,-0.000691913,0.0493334,0.0037789,0.00457313
78,-0.568118,0.0604359,0.0232737,0.0905694,0.0319073,0.0512469
79,-0.241107,0.0181464,0.0251276,0.0049597,0.0149655,0.0571636
80,-0.182703,0.00199982,0.0582428,0.00746992,0.00809286,0.00236338
81,-0.0077099,4.46094e-06,0.00914936,6.30094e-07,0.000141271,1.24213e-06
82,-0.00498749,0.00249993,7.52007e-05,6.2335e-07,4.41726e-06,6.22847e-07
83,-0.00573296,9.86222e-09,0.00251652,5.19631e-15,1.86758e-06,7.59195e-12
84,-0.00274656,1.0609e-11,1.89868e-06,5.6735e-16,6.22869e-07,1.13455e-15
85,-0.00149906,3.11063e-14,9.30719e-11,8.5455e-18,9.18798e-16,4.36733e-18
86,-0.000749813,5.91655e-23,0.00124906,0,3.99168e-14,0
87,-0.000749813,0,0,0,0,0
88,-0.000499938,0,0,1.74182e-23,0,0
89,-0.000499938,0,0,3.51926e-20,0,0
90,-0.0239613,1.83362e-17,4.9302e-22,3.30829e-15,4.7584e-22,3.34131e-16
91,-0.000749813,5.5085e-18,0,2.30481e-14,0,5.56553e-15
92,-0.00124938,8.74643e-15,4.13137e-18,1.08688e-11,0,2.89046e-11
93,-0.00124938,2.95778e-11,1.4306e-14,8.03179e-09,1.2718e-14,2.3296e-08
94,-0.000749811,5.7385e-09,1.36098e-11,4.63939e-06,5.2937e-12,1.2364e-05
95,-0.0017425,0.00624986,6.12098e-09,6.18595e-07,5.35633e-09,1.23719e-06
96,-0.00124814,2.47253e-06,9.27529e-06,0.00249376,3.09332e-06,6.12333e-10
