cannon_x,0-Noop,1-Fire,2-Right,3-Left,4-RightFire,5-LeftFire
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,-0.918871,0.0532679,0.0544348,0.0552039,0.126629,0.055085
39,-0.88066,0.064546,0.131784,0.0603973,0.0658206,0.0612333
40,-0.86972,0.0638448,0.0680836,0.131815,0.067771,0.0626198
41,-0.868546,0.0698584,0.0718563,0.0675562,0.149335,0.0675304
42,-0.869368,0.0727818,0.0804044,0.0719069,0.0806668,0.149384
43,-0.868447,0.185189,0.0812796,0.0846589,0.0820179,0.083709
44,-0.867489,0.160335,0.0584911,0.0866858,0.0556603,0.0856364
45,-0.717524,0.0141549,-0.00797378,0.125265,-0.0055855,0.0188927
46,-0.874007,-0.0258834,-0.111121,0.0730415,-0.104733,-0.0125309
47,-1.01938,-0.230464,-0.218699,-0.164215,-0.229806,-0.109055
48,-0.896263,-0.202501,-0.191734,-0.208277,-0.186293,-0.204506
49,-0.410405,0.00175636,0.00304175,-0.0149709,0.00358495,-0.0138352
50,-0.398282,0.00376199,0.00328314,0.00356386,0.00367916,0.0107702
51,-0.384964,0.00526285,0.0149968,0.00444753,0.00281873,0.00411537
52,-0.447402,0.0302629,0.00709509,0.00625423,0.00603509,0.00536818
53,-0.33227,0.00273775,0.00322286,0.017541,0.00258032,0.00503982
54,-0.231564,0.00198466,0.00302941,0.0071166,0.0030673,0.000274742
55,-0.186457,0.00125676,0.00145305,1.34069e-05,0.000773464,-0.00103026
56,-0.187914,0.00160139,0.00141832,-0.00159087,0.00412096,0.00168238
57,-0.151019,-0.00285883,0.00079581,0.0036881,0.00055527,0.00116155
58,-0.101645,0.000782828,0.0010537,-0.00129219,-0.00130791,0.00215784
59,-0.0768228,0.000547409,0.000536455,0.000296693,0.0015485,-0.00284073
60,-0.0687223,-0.00188807,0.000804043,0.000799238,0.00103859,0.00294763
61,-0.0761385,0.00029595,0.000315849,0.00130899,-0.00012714,0.00028782
62,-0.0600503,6.41159e-05,3.56148e-05,0.000774256,0.000278363,0.00335387
63,-0.0494563,0.000533303,0.00175978,0.000305525,0.000526463,6.23179e-05
64,-0.0710445,0.00200408,0.000287918,-0.00190303,0.00123739,0.000286436
65,-0.0559761,0.000278129,-0.00215251,0.00106762,0.0002698,0.000281043
66,-0.0370379,0.000752927,-0.0021867,1.8614e-05,0.000283496,0.00075583
67,-0.0343702,-0.00245277,0.00128036,1.29151e-05,0.000534066,-0.00197179
68,-0.0309795,3.34616e-05,0.000259405,-0.000283294,0.000746484,2.5075e-05
69,-0.0259056,0.000500556,0.000500248,0.000270498,0.000497031,0.000800933
70,-0.0224926,3.85649e-06,-0.0022426,-0.00246602,0.00050543,-0.00222845
71,-0.0334564,-0.00175025,-0.00221382,-0.00243215,6.74521e-06,2.69436e-06
72,-0.0180813,-0.00125037,2.54613e-06,4.35784e-06,3.08163e-06,4.30086e-06
73,-0.0215374,-0.00248962,5.45408e-06,-0.00223005,3.50719e-06,0.000256013
74,-0.0185742,0.000250281,0.000249208,1.72994e-06,1.4101e-07,0.000248998
75,-0.0136574,0.000250018,7.7999e-11,-0.00248381,1.26492e-10,-0.00249048
76,-0.0176302,-0.00249947,-0.00316389,-0.0024928,-0.0023515,-0.00249662
77,-0.121371,-0.0670612,-0.0660847,-0.0668854,-0.0686709,-0.0666511
78,-1.25477,-0.394231,-0.311313,-0.272656,-0.309909,-0.272011
79,-0.600896,-0.249418,-0.249744,-0.251,-0.24979,-0.251883
80,-0.169594,-0.0906256,-0.0872813,-0.088623,-0.0864764,-0.0908215
81,-0.00945619,-0.002495,6.23382e-07,-1.04448e-05,1.24757e-07,-1.06075e-05
82,-0.00498802,0.000249992,7.40477e-07,2.7084e-10,1.60141e-06,3.49125e-10
83,-0.00723128,5.55346e-07,0.00024919,6.29747e-08,1.52813e-09,0.000249311
84,-0.00747287,7.49386e-10,2.83776e-06,6.17052e-07,1.3596e-06,7.40433e-07
85,-0.0109386,1.60657e-06,-0.00249154,2.59847e-09,0.00049963,5.42013e-09
86,-0.00349376,0.000250603,1.3585e-06,1.35919e-06,1.48087e-06,0.00049984
87,-0.00399164,8.6464e-07,8.05549e-07,0.000250966,5.58697e-07,9.89112e-07
88,-0.00449002,1.24984e-07,7.41459e-07,0.000250413,1.60369e-06,9.26644e-07
89,-0.00598142,0.000249978,0.000249321,4.34495e-07,6.82131e-09,6.20805e-07
90,-0.0259114,2.26369e-07,1.84833e-08,6.35244e-06,2.26478e-08,4.06685e-05
91,-0.00449045,1.1313e-09,1.04977e-06,4.7734e-09,5.56311e-07,4.98151e-09
92,-0.00424095,0.000249993,2.4722e-07,0.000249939,3.09216e-07,0.000249565
93,-0.00299539,5.55361e-07,1.25152e-09,6.18042e-07,0.0002482,-0.00249864
